Plot,Plot_Size,Stem_Inference_Area_for_Saplings,Stem_Inference_Area_for_Trees,MinimumTreeSize,TreeData,PlotTotalDensity,PlotTotalBA,Tree data complete,Physiognomy,Tree Cover,Tree Height,Tree Leaf Type,Tree Phenology,Shrub Cover,Shrub Height,Shrub Leaf Type,Shrub Phenology,Herb Cover,Herb Height,Herb Life Form,Herb Growth Habit,Bryophyte Cover,Bryophyte Life Form,Elevation,Aspect,Slope,CEC,pH,OM,N,S,P,Ca,Mg,CaMgRatio,K,Na,B,Fe,Mn,Cu,Zn,Al,Base Saturation,FertilityIndex,Latitude,Longitude,UTMN,UTME,UTM Zone,Location Method,Estimated Accuracy
BBNR033,100,100,100,,Yes,2200,0.394976735,TRUE,Herbaceous with sparse shrub layer,,,,,,,,,90,,Mixed,Perennial Herb,,,1,flat,,6.849999905,3.799999952,8.81000042,119,21,20,148,67,2.208955288,51,37,0.529999971,219,1,1.230000019,1.629999995,259,33,2.260499954,363755.164,755350.712,4054424,419767,18,GPS,Confident computed pos. within 25 m of true pos.
BBNR034,100,100,100,,Yes,1500,4.288038373,TRUE,Shrubland / Sparse Shrubland,,,,,25,,Broad - leaved,Mixed Deciduous,60,,Mixed,Perennial Herb,,,0,flat,,2.119999886,5.599999905,0.810000002,32,14,8,157,53,2.962264061,15,35,0.629999995,182,1,0.829999983,1.210000038,171,73,1.547600031,363753.472,755428.764,4054381,418822,18,GPS,Confident computed pos. within 25 m of true pos.
BIGS001P,100,100,100,,Yes,5000,1.632999827,TRUE,Shrubland / Sparse Shrubland,5,,Needle - leaved,Evergreen,40,,Needle - leaved,Mixed Evergreen,95,<1,Forb,Perennial Herb,2,Bryophyte,799,flat,2,9.720000267,5.300000191,5.860000134,104,12,3,211,390,0.541025639,15,10,0.409999996,195,20,3.099999905,0.879999995,492,45.15999985,4.389552116,363409.68,805542.73,4047103,506394,17,GPS,Confident computed pos. within 25 m of true pos.
BIGS002P,100,100,100,,Yes,3000,0.225723435,TRUE,Shrubland / Sparse Shrubland,5,,Needle - leaved,Mixed Evergreen,10,,Broad - leaved,Deciduous,95,0.1 - 1.5,Forb,Perennial Herb,2,Bryophyte,798,flat,0,15.73999977,5.400000095,7.820000172,114,16,5,334,742,0.450134784,19,16,0.680000007,240,9,5.539999962,1.120000005,619,50.65999985,7.973884106,363410.92,805544.41,4047141,506353,17,GPS,Confident computed pos. within 25 m of true pos.
BLAC001P,1000,1500,1500,,Yes,532,21.12088524,TRUE,Woodland,20,18,Needle - leaved,Evergreen,5,4,Broad - leaved,Deciduous,75,<0.5,Ericad,Deciduous Woody,,,12,flat,,1.580000043,3.5,1.210000038,44,25,16,132,36,3.666666746,17,27,0.75999999,80,6,0.479999989,0.620000005,147,71.01000214,1.121958017,364852.02,765111.16,4075891,334710,18,GPS,Confident computed pos. within 25 m of true pos.
BLAC002P,1000,1000,1000,,Yes,620,15.40253724,TRUE,Woodland,20,14,Needle - leaved,Evergreen,5,1,Needle - leaved,Mixed Evergreen,70,0.3,Ericad,Deciduous Woody,2,Lichen,10,flat,0,1.080000043,3.5,0.949999988,38,15,9,157,27,5.814815044,15,7,1.110000014,27,2,0.639999986,0.819999993,64,100,1.080000043,364916.5684,765107.8804,4076646,334806,18,GPS,Confident computed pos. within 25 m of true pos.
BLAC003P,1000,1000,1000,,Yes,2030,24.64912386,TRUE,Forest,60,20,Broad - leaved,Deciduous,10,3,Broad - leaved,Deciduous,5,0.3 - 0.4,Mixed,Deciduous Woody,1,Bryophyte,7,flat,,2.619999886,4.300000191,1.110000014,42,27,60,129,29,4.448276043,12,7,0.629999995,327,5,0.569999993,0.589999974,551,36.02999878,0.943985999,364929.1684,765118.1008,4077039,334561,18,GPS,Confident computed pos. within 25 m of true pos.
BLRP133,1000,1000,1000,,Yes,2230,40.96022705,TRUE,Forest,80,31,Broad - leaved,Deciduous,30,6,Broad - leaved,Deciduous,30,0.5,Mixed,Perennial Herb,,,789,130,16,11.60000038,4.900000095,8.180000305,116,36,15,156,48,3.25,52,20,0.319999993,87,117,1.820000052,2.119999886,994,12.05000019,1.397799969,365522.26,801134.404,4086618,571887,17,GPS,Confident computed pos. within 25 m of true pos.
BLRP205,1000,1000,1000,,Yes,4880,40.96257482,TRUE,Forest,75,23,Broad - leaved,Deciduous,75,,Broad - leaved,Evergreen,2,,Woody Seedling,Deciduous Woody,3,Bryophyte,880,205,30,23.12999916,4,10.06000042,125,29,11,46,23,2,48,47,0.239999995,294,3,0.449999988,2.059999943,849,3.230000019,0.747098982,373250.3088,792737.1808,4156704,636010,17,GPS,Confident computed pos. within 25 m of true pos.
BLRP206,400,400,400,,Yes,5300,23.20158504,TRUE,Woodland,40,,Needle - leaved,Mixed Evergreen,50,,Broad - leaved,Evergreen,5,,Woody Seedling,Deciduous Woody,35,Lichen,1076,175,26,20.48999977,4.300000191,18.96999931,129,71,13,45,16,2.8125,48,15,0.589999974,423,2,0.310000002,2.170000076,1544,2.650000095,0.542985022,372700.8604,793446.8804,4145768,625628,17,GPS,Confident computed pos. within 25 m of true pos.
BOTE001,400,400,400,,Yes,2250,23.49277138,TRUE,Woodland,40,,Broad - leaved,Deciduous,10,,Broad - leaved,Deciduous,80,,Graminoid,Perennial Herb,1,Mixed,1094,187,18,21.69000053,4,14.38000011,127,70,85,224,51,4.392157078,67,7,0.870000005,389,347,0.680000007,3,1200,8.039999962,1.74387598,373928.5084,794141.5608,4168663,615119,17,GPS,Confident computed pos. within 25 m of true pos.
BUFF001P,1000,1000,1000,,Yes,3470,26.79544497,TRUE,Forest,70,24,Broad - leaved,Deciduous,20,,Broad - leaved,Deciduous,20,<0.5,Forb,Perennial Herb,3,Bryophyte,928,230,12,15.31999969,4.900000095,6.349999905,107,26,7,537,123,4.365853786,52,13,0.360000014,143,145,2.390000105,2.420000076,940,25.45999908,3.900471926,364713.9488,802713.1688,4071406,548747,17,GPS,Confident computed pos. within 25 m of true pos.
BUFF002P,400,400,400,,Yes,4850,37.87631755,TRUE,Woodland,50,15,Broad - leaved,Deciduous,40,,Broad - leaved,Deciduous,25,<1,Mixed,Perennial Herb,1,Mixed,1147,210,23,25,4.5,9.989999771,125,37,9,417,43,9.697674751,50,10,0.310000002,176,67,3.470000029,3.200000048,1284,10.47000027,2.617500067,364741.46,802840.5804,4072242,546576,17,GPS,Confident computed pos. within 25 m of true pos.
BUFF003P,100,100,100,,Yes,7800,3.687915597,TRUE,Woodland,30,,Broad - leaved,Deciduous,60,4,Broad - leaved,Deciduous,80,<<1,Mixed,Perennial Herb,40,Bryophyte,845,200,5,21.47999954,5.5,21.18000031,130,25,7,1085,235,4.617021084,71,13,0.479999989,379,61,1.470000029,4.599999905,294,35.49000168,7.623251915,364658.5408,802738.9088,4070928,548111,17,GPS,Confident computed pos. within 25 m of true pos.
BUFF004P,1000,1000,1000,,Yes,3410,17.52168319,TRUE,Woodland,20,12,Broad - leaved,Deciduous,60,4,Broad - leaved,Deciduous,70,0.5,Graminoid,Perennial Herb,1,Bryophyte,1065,165,25,17.35000038,5.699999809,7.809999943,114,32,9,1708,344,4.965116501,107,79,0.589999974,130,119,3.390000105,7.179999828,694,69.27999878,12.02007961,364733.9288,802822.8,4072012,547018,17,GPS,Confident computed pos. within 25 m of true pos.
BUFF005P,1000,1000,1000,,Yes,4590,27.18722527,TRUE,Forest,70,36,Broad - leaved,Deciduous,40,,Broad - leaved,Deciduous,80,1,Forb,Perennial Herb,1,Mixed,1010,185,11,11.39000034,5.199999809,12.22000027,126,19,11,970,119,8.151260376,64,13,0.540000021,57,101,7.03000021,2.279999971,849,53.20000076,6.05948019,364721.8004,802724.48,4071647,548465,17,GPS,Confident computed pos. 25-100m from true pos.
BUFF008P,400,400,400,,Yes,3325,1.706846866,TRUE,Herbaceous with sparse shrub layer,,,,,25,3,Broad - leaved,Deciduous,80,<1,Graminoid,Perennial Herb,15,Mixed,1175,235,22,18.88999939,4.099999905,11.43000031,126,46,12,181,39,4.641025543,37,13,0.319999993,163,16,6.010000229,1.580000043,1591,7.309999943,1.380859017,364744.6208,802840.8288,4072339,546569,17,GPS,Confident computed pos. within 25 m of true pos.
BUFF009P,100,100,100,,Yes,6100,11.47262537,TRUE,Woodland,40,,Broad - leaved,Deciduous,50,,Broad - leaved,Deciduous,60,,Forb,Perennial Herb,20,Bryophyte,866,125,7,14.59000015,5.400000095,9.979999542,125,28,5,1328,287,4.627177715,59,18,0.709999979,390,185,3.779999971,7.170000076,392,63.47000122,9.26027298,364648.7884,802836.9408,4070619,546675,17,GPS,Confident computed pos. 25-100m from true pos.
BUFF010P,400,400,400,,Yes,2350,25.02606421,TRUE,Forest,70,28,Broad - leaved,Deciduous,20,,Broad - leaved,Deciduous,60,<1,Pteridophyte,Perennial Herb,3,Bryophyte,1072,305,30,19.95000076,4.300000191,14.38000011,127,31,24,518,103,5.029126167,57,15,0.379999995,145,36,4.690000057,6.230000019,909,18.34000015,3.658829927,364749.6284,802845.6888,4072493,546448,17,GPS,Confident computed pos. 25-100m from true pos.
BUFF011P,800,800,800,,Yes,9762,46.05662151,TRUE,Forest,70,,Broad - leaved,Deciduous,90,,Broad - leaved,Evergreen,1,<<1,Woody Seedling,Deciduous Woody,,,874,355,6,8.56000042,4.599999905,8.659999847,118,39,6,80,30,2.666666746,37,11,0.270000011,152,53,1.889999986,1.5,1049,9.279999733,0.794368029,364654.5088,802744.3088,4070803,547978,17,GPS,Confident computed pos. 25-100m from true pos.
BUFF012P,1000,1000,1000,,Yes,7310,46.88870264,TRUE,Forest,60,,Broad - leaved,Deciduous,90,3,Broad - leaved,Evergreen,5,,Mixed,Perennial Herb,5,Bryophyte,1068,305,30,18.73999977,4.300000191,7.369999886,112,39,13,150,43,3.488372087,25,13,0.419999987,366,4,18.63999939,1.659999967,1292,6.559999943,1.22934401,364749.9884,802845.7284,4072504,546447,17,GPS,Confident computed pos. 25-100m from true pos.
BUFF013P,1000,1000,1000,,Yes,1920,38.95498686,TRUE,Forest,60,,Broad - leaved,Deciduous,5,,Broad - leaved,Deciduous,40,,Forb,Perennial Herb,5,Lichen,1035,238,21,15.82999992,5.5,7.239999771,111,36,19,1493,191,7.816753864,78,6,0.959999979,138,134,5.139999866,2.730000019,734,58.63999939,9.282711983,364738.9004,802848.9,4072162,546370,17,topo map,Confident computed pos. 100-250m from true pos.
BUFF014P,100,100,100,,Yes,5500,9.991285769,TRUE,Woodland,30,23,Broad - leaved,Deciduous,20,3,Broad - leaved,Deciduous,80,<1,Mixed,Perennial Herb,7,Bryophyte,856,187,3,17.43499947,5.199999809,11.72000027,123,28,8,1081,274,3.937100649,28,18,0.709999979,346,30,7.809999943,2.839999914,474,44.91500092,7.841882706,364650.9808,802823.5884,4070689,547005,17,GPS,Confident computed pos. within 25 m of true pos.
BUFF015P,100,100,100,,Yes,6600,10.03244041,TRUE,Herbaceous with sparse tree layer,15,14,Broad - leaved,Mixed Deciduous,20,3,Broad - leaved,Deciduous,60,0.1-0.3,Mixed,Perennial Herb,1,Mixed,864,194,7,22.29000092,5.800000191,18.40999985,129,39,9,2010,498,4.036144733,74,30,0.800000012,307,89,2.460000038,5.110000134,508,65.16000366,14.5241642,364654.3288,802821.6804,4070792,547052,17,GPS,Confident computed pos. within 25 m of true pos.
BUFF018P,400,400,400,,Yes,1450,9.018334436,TRUE,Herbaceous with sparse shrub layer,,,,,35,6,Broad - leaved,Mixed Deciduous,90,0.3-1.3,Graminoid,Perennial Herb,5,Lichen,1025,210,20,17.97999954,5.199999809,10.63000011,125,33,12,999,307,3.254071712,67,13,0.600000024,172,87,4.199999809,4.650000095,811,43.25999832,7.778148174,364730.768,802829.856,4071913,546843,17,GPS,Confident computed pos. within 25 m of true pos.
BUFF019P,100,100,100,,Yes,500,1.964752078,TRUE,Herbaceous with sparse shrub layer,,,,,5,3,Broad - leaved,Deciduous,65,0.4-0.8,Graminoid,Perennial Herb,15,Lichen,1048,220,29,15.26000023,4.5,7.639999866,113,32,23,502,138,3.637681246,47,14,0.589999974,180,66,7.639999866,3.309999943,902,25.15999985,3.839416027,364733.792,802835.184,4072006,546711,17,GPS,Confident computed pos. within 25 m of true pos.
BUSH005P,1000,1000,1000,,Yes,2120,25.95657705,TRUE,Forest,60,28,Broad - leaved,Deciduous,25,,Broad - leaved,Evergreen,5,,Ericad,Deciduous Woody,1,Bryophyte,7,40,3,6.130000114,4.199999809,1.960000038,59,33,26,92,30,3.066666603,26,6,0.709999979,286,13,0.319999993,0.870000005,484,13.05000019,0.799965024,375228.9884,762640.2,4192898,372958,18,GPS,Confident computed pos. 100-250m from true pos.
BUSH006P,1000,1000,1000,,Yes,1690,39.09556557,TRUE,Forest,80,,Broad - leaved,Deciduous,20,,Broad - leaved,Evergreen,1,,Mixed,Deciduous Woody,1,Bryophyte,18,110,22,5.059999943,4,1.820000052,56,27,16,106,39,2.717948675,28,6,0.99000001,356,11,0.310000002,0.790000021,253,18.73999977,0.948243976,375227.0084,762657.5484,4192844,372533,18,GPS,Confident computed pos. 100-250m from true pos.
CAPE001P,1000,1000,1000,,Yes,2120,34.19763419,TRUE,Forest,50,21,Broad - leaved,Mixed Deciduous,25,,Broad - leaved,Mixed Evergreen,5,,Woody Seedling,Deciduous Woody,,,8,flat,,1.389999986,4.099999905,0.949999988,38,23,15,118,32,3.6875,14,9,1.149999976,144,2,0.439999998,0.819999993,141,67.05000305,0.931994975,371522.14,760119.8408,4123778,409355,18,GPS,Confident computed pos. within 25 m of true pos.
CEDA001P,1000,1000,1000,,Yes,3790,30.32792245,TRUE,Woodland,50,22,Broad - leaved,Mixed Deciduous,25,3,Broad - leaved,Deciduous,89,<0.5,Forb,Perennial Herb,1,Mixed,409,115,1,33.15999985,6.199999809,9.569999695,123,36,17,6085,79,77.02531433,132,15,0.850000024,99,137,3.319999933,3.809999943,594,94.94999695,31.48542023,363931.2804,831147.94,4059258,303667,17,GPS,Confident computed pos. within 25 m of true pos.
CEDA004P,1000,1000,1000,,Yes,3670,29.86856661,TRUE,Forest,60,35,Broad - leaved,Deciduous,30,3,Broad - leaved,Deciduous,80,<0.5,Mixed,Perennial Herb,1,Bryophyte,426,flat,3,8.81000042,4.699999809,4.46999979,95,37,36,575,49,11.73469353,67,6,0.870000005,213,159,0.560000002,1.320000052,714,39.5,3.479949951,364036.6204,830941.5404,4061201,306851,17,GPS,Confident computed pos. within 25 m of true pos.
CEDA005P,1000,1000,1000,,Yes,4200,29.87426918,TRUE,Forest,80,22,Broad - leaved,Deciduous,25,5,Broad - leaved,Deciduous,60,0.2,Mixed,Perennial Herb,15,Bryophyte,422,flat,0,18.89999962,5.699999809,7.329999924,112,39,17,3182,116,27.43103409,98,21,1.110000014,108,234,1.019999981,1.059999943,576,91.12999725,17.22356987,363945.7488,831030.2088,4059660,305607,17,GPS,Confident computed pos. within 25 m of true pos.
CHOT003P,100,100,100,,Yes,7700,0.151189148,TRUE,Herbaceous,,,,,75,1.600000024,Broad - leaved,Deciduous,90,0.5,Graminoid,Perennial Herb,,,0,flat,,42.79999924,4,50.95999908,130,2778,26,1573,1563,1.006397963,252,1985,3.440000057,561,27,1,6.300000191,316,70.47000122,30.16115952,382151.0804,770632.8608,4248329,315734,18,GPS,Confident computed pos. within 25 m of true pos.
CHOT004P,1000,1000,1000,,Yes,400,41.22583187,TRUE,Forest,60,34.5,Broad - leaved,Deciduous,5,,Broad - leaved,Mixed Evergreen,20,<<1,Mixed,Perennial Herb,,,6,flat,,13.34000015,4,3.839999914,88,69,51,292,163,1.791411042,87,23,0.959999979,510,2,0.670000017,1.659999967,773,23.52000046,3.137567997,382053.7,770809.7008,4246615,313343,18,GPS,Confident computed pos. within 25 m of true pos.
CHOT005P,1000,1000,1000,,Yes,1690,43.19582195,TRUE,Forest,40,29,Broad - leaved,Deciduous,5,6,Broad - leaved,Deciduous,15,1,Graminoid,Perennial Herb,5,Bryophyte,2,flat,,22.76000023,3.700000048,9.520000458,123,85,86,149,75,1.986666679,63,15,0.910000026,454,6,1.279999971,3.190000057,1008,7.010000229,1.595476031,382137.8,770742.9888,4247959,314023,18,GPS,Confident computed pos. within 25 m of true pos.
CHOT006P,1000,1000,1000,,Yes,850,47.95315929,TRUE,Forest,80,40,Broad - leaved,Deciduous,5,2,Broad - leaved,Deciduous,60,0.2-0.5,Mixed,Perennial Herb,1,Bryophyte,33,275,4,11.80000019,4.800000191,3.900000095,89,41,48,420,68,6.176470757,44,9,0.819999993,97,49,0.720000029,3.430000067,874,23.86000061,2.815479994,382020.1084,770818.78,4245584,313098,18,GPS,Confident computed pos. within 25 m of true pos.
CHOT008P,1000,1000,1000,,Yes,2560,26.33811544,TRUE,Forest,70,,Broad - leaved,Deciduous,30,4,Broad - leaved,Evergreen,20,0.3,Ericad,Deciduous Woody,3,Bryophyte,6,flat,,14.75,3.599999905,8.56000042,118,41,25,91,41,2.219512224,28,7,0.870000005,588,2,0.330000013,1.5,456,6.059999943,0.893850029,382108.1,770754.8688,4247050,313713,18,GPS,Confident computed pos. within 25 m of true pos.
CHOT009P,1000,1000,1000,,Yes,650,41.21373793,TRUE,Forest,80,38,Broad - leaved,Deciduous,5,5,Broad - leaved,Mixed Deciduous,5,0.5,Mixed,Perennial Herb,1,Bryophyte,35,267,11,7.190000057,4.599999905,3.019999981,80,27,33,257,51,5.039215565,47,6,0.709999979,125,24,0.379999995,1.480000019,638,25.87000084,1.860052943,382017.9088,770816.9404,4245515,313141,18,GPS,Confident computed pos. within 25 m of true pos.
CHUB001P,1000,1000,1000,,Yes,1650,44.61032561,TRUE,Forest,70,25,Broad - leaved,Deciduous,5,,Broad - leaved,Deciduous,5,,Graminoid,Perennial Herb,1,Bryophyte,11,flat,,14.89000034,4.099999905,4.429999828,94,54,39,305,70,4.357142925,36,11,0.75999999,346,2,0.270000011,0.839999974,657,15.11999989,2.251368046,365153.6004,771106.6984,4082113,305213,18,GPS,Confident computed pos. within 25 m of true pos.
CHUB002P,1000,1000,1000,,Yes,8930,32.19497101,TRUE,Forest,70,30,Broad - leaved,Deciduous,25,4,Broad - leaved,Deciduous,40,0.2-0.3,Woody Seedling,Deciduous Woody,,,9,flat,,22.03000069,4.099999905,6.650000095,108,57,24,813,161,5.049689293,75,33,0.460000008,192,357,2.539999962,6.53000021,974,26.04999924,5.738814831,365233.0996,771109.2004,4083332,305179,18,GPS,Confident computed pos. within 25 m of true pos.
CHUB003P,1000,1000,1000,,Yes,1520,23.92705217,TRUE,Forest,50,21,Needle - leaved,Mixed Evergreen,25,,Broad - leaved,Deciduous,30,,Mixed,Perennial Herb,,,14,flat,,1.200000048,4.699999809,1.269999981,45,23,15,93,24,3.875,20,6,0.680000007,184,19,0.200000003,0.550000012,449,61.83000183,0.741959989,365215.5380836,771049.36785096,4082780,305658,18,GPS,Confident computed pos. within 25 m of true pos.
CLEV001P,1000,1000,1000,,Yes,4530,17.62145987,TRUE,Forest,40,19,Broad - leaved,Deciduous,40,3,Broad - leaved,Deciduous,85,0 - 0.3,Forb,Perennial Herb,10,Bryophyte,585,310,28,36.56000137,6.699999809,14.64000034,127,44,15,5081,1265,4.016600609,222,10,2.019999981,55,169,3.480000019,3.680000067,403,100,36.56000137,365619.788,820907.308,4088707,397413,17,topo map,Confident computed pos. 25-100m from true pos.
CNHP103,400,400,400,,Yes,1000,16.89615238,TRUE,Forest,50,17,Broad - leaved,Deciduous,,,Broad - leaved,Deciduous,10,,Graminoid,Perennial Herb,,,1,flat,0,3.039999962,5.400000095,0.769999981,31,53,26,221,196,1.127551079,47,42,1.029999971,212,2,0.360000014,1.789999962,137,100,3.039999962,371311.856,764706.684,4120766,341613,18,GPS,Confident computed pos. within 25 m of true pos.
CNHP106,400,400,400,,Yes,625,47.4472177,TRUE,Forest,70,35,Broad - leaved,Mixed Deciduous,5,,Broad - leaved,Mixed Deciduous,2,,Woody Seedling,Deciduous Woody,1,Mixed,1,239,2,14.77999973,3.900000095,4.619999886,96,40,17,94,42,2.238095284,19,12,1,571,2,0.430000007,1.559999943,664,6.25,0.923749983,371233.372,764602.64,4119551,343169,18,GPS,Confident computed pos. within 25 m of true pos.
CNHP107,400,400,400,,Yes,3925,34.11496706,TRUE,Forest,,26,Broad - leaved,Mixed Deciduous,,,Needle - leaved,Evergreen,,,Woody Seedling,Deciduous Woody,,,1,flat,1,9.819999695,4.099999905,2.519999981,70,30,13,94,33,2.848484755,20,8,0.889999986,412,1,0.280000001,0.699999988,563,8.510000229,0.835681975,371225.848,764547.124,4119311,343547,18,GPS,Confident computed pos. within 25 m of true pos.
CNHP117,400,400,400,,Yes,600,25.11707205,TRUE,Forest,30,28,Broad - leaved,Mixed Deciduous,4,,Broad - leaved,Evergreen,95,,Graminoid,Perennial Herb,,,1,flat,2,14.96000004,5.599999905,7.28000021,111,175,58,728,672,1.083333373,169,831,1.769999981,442,70,1.830000043,3.029999971,520,88.80000305,13.28448009,371219.908,764517.856,4119115,344265,18,GPS,Confident computed pos. within 25 m of true pos.
COWB005P,100,100,100,,Yes,200,0.003926991,TRUE,Herbaceous with sparse tree layer,,,,,5,2,Broad - leaved,Deciduous,80,1,Graminoid,Perennial Herb,,,426,flat,,27.14999962,6,4.809999943,98,32,10,3386,546,6.20146513,110,14,0.409999996,169,4,2.480000019,1.370000005,836,80.37000275,21.82045555,380118.8688,790330.2004,4210025,670425,17,GPS,Confident computed pos. within 25 m of true pos.
COWB006P,100,100,100,,Yes,200,11.79291058,TRUE,Herbaceous with sparse tree layer,5,,Broad - leaved,Deciduous,,,,,95,1.5,Mixed,Perennial Herb,,,426,flat,,23.5,5,11.51000023,126,72,34,1726,240,7.191666603,54,21,0.5,483,4,0.629999995,3.819999933,589,46.22000122,10.86170006,380117.4288,790331.6404,4209980,670391,17,GPS,Confident computed pos. within 25 m of true pos.
