soilOrganic_avg,soilSand_avg,soilSilt_avg,soilClay_avg,soilCoarse_avg,soilPH_avg,exchangeCapacity_avg,baseSaturation_avg,N_avg,S_avg,P_avg,Ca_ppm_avg,Mg_ppm_avg,K_ppm_avg,Na_ppm_avg,percent_Ca_avg,percent_Mg_avg,percent_K_avg,percent_Na_avg,percent_Othr_avg,percent_H_avg,B_ppm_avg,Fe_ppm_avg,Mn_ppm_avg,Cu_ppm_avg,Zn_ppm_avg,Al_ppm_avg,Density_avg,Ca_over_Mg_ppm_avg,OBSERVATION_ID,Author_Observation_Code
6.47,,,,,5.48,30.035,71.7,63,108,87,3014.205,501.815,86.66,164.6,53.565,14.815,0.8,2.52,7,39,1.71,196,10.29,0.26,5.8,153,0.865,5.999386617,670,001-02-0205
0.8275,,,,,4.4025,3.2275,31.65,23.5,26,15.5,104.975,35.01,9.245,18.07,17.4575,10.5275,1.03,2.6325,8.9,60,0.565,69.5,1.6525,0.1275,0.5825,48.5,1.2425,2.907606838,671,001-02-0206
0.51,,,,,5.97,23.44,92.8,,,7,17338.96,634.04,187,549.76,84.9,5.12,0.47,2.35,,,,,10.43,2.17,35.65,,0.23,27.35,672,001-02-0207
0.21125,98,1.52,0.48,,6.885,8.30875,96.2375,8.125,23,12.875,1288.17875,18.49375,9.89625,22.1475,92.3725,2.17375,0.345,1.34875,4.525,3,0.6775,48.25,4.12375,0.1325,0.745,32,1.4525,77.27618506,673,001-02-0208
4.878571429,,,,,4.261428571,4.888571429,32.87142857,45.16666667,31.66666667,15.71428571,158.34,36.39714286,31.65428571,28.64,21.17142857,7.221428571,1.507142857,2.982857143,9.133333333,61.66666667,0.616666667,69.66666667,2.211428571,0.144285714,0.885714286,43.66666667,1.122857143,4.59260447,674,001-02-0209
1.755,,,,,4.965,11.185,57.55,40,48,15.5,936.13,42.22,11.655,34.195,52.12,3.62,0.29,1.495,8,51,1.09,286,0.74,0.13,0.59,120,1.245,23.29385965,675,001-02-0210
1.238571429,98,1.52,0.48,,4.14,4.3,24.15714286,28.66666667,33,16.71428571,103.5571429,38.61571429,7.135714286,19.38285714,13.53857143,8.027142857,0.488571429,2.117142857,9.466666667,65,0.41,214.3333333,6.397142857,0.295714286,1.102857143,214,1.188571429,2.821344766,676,001-02-0211
0.534285714,97,2.52,0.48,,4.354285714,2.661428571,27.1,18.16666667,29,28,82.13285714,22.53,4.774285714,11.49,16.75428571,7.664285714,0.637142857,2.111428571,9,61,0.45,241,14.37571429,0.142857143,0.507142857,242,1.26,3.536979455,677,001-02-0212
0.97,,,,,5.04,15.42,72.2,,,6,9686,1242.26,456.17,498.12,56.42,11.93,1.36,2.53,,,,,22.22,1.11,7.78,,0.18,7.8,678,001-02-0213
4.05,,,,,5,13.49,48.6,2.025,13.75,44.25,1029.5,139.5,50.5,48.5,37.69,8.4825,0.9125,1.5125,7.4,44,0.69,192.5,21.75,0.05,7.25,150,1.1425,7.479769797,679,001-02-0214
3.428,,,,,4.696,10.132,47.54,1.925,10.75,13.4,2578.842,338.076,115.748,140.3,34.536,9.556,1.14,2.292,8.15,51.75,0.7,79.5,13.4,0.128,7.636,87.75,0.976,5.893439216,680,001-02-0215
25.475,,,,,4.6,14.825,38.8,12.7375,75,20.5,638.5,229,64.5,153.5,21.43,12.005,1.0525,4.315,8.2,53,0.535,790.5,4.75,0.0475,3.625,176.25,0.6625,3.342277286,681,001-02-0216
2.05,,,,,3.9,4.4975,24.4,1.025,12.25,11,139.25,33.5,22.75,14.75,14.72,6.6675,1.4125,1.605,9.6,66,0.2,87.5,1.5,0.0275,0.675,64.5,1.19,3.84882409,682,001-02-0217
8.55,,,,,3.9,16.6875,25.15,4.275,30.5,13.5,233.75,201.5,40.25,266.5,7.4625,10.3425,0.6525,6.695,9.6,65.25,0.2,119.75,0.75,0.0125,0.6,196.25,0.915,1.220204813,683,001-02-0218
1.348,97,2.52,0.48,,4.362,7.506,37.56,35.5,29,16.6,400.362,108.554,52.454,46.294,23.698,10.06,1.568,2.22,9,61,0.66,44,11.816,0.3,2.676,41,1.024,3.942181818,684,001-03-0201
0.8125,,,,,5.44,10.26,78.675,,,24.75,1281.03,176.745,74.44,32.2575,61.7025,13.89,1.7825,1.3025,,,,,51.445,0.3725,6.465,,1.025,7.4275,685,001-03-0202
0.8275,,,,,5.635,15.43,82.75,,,28.75,1975.71,253.945,102.6725,35.0575,66.0725,13.86,1.795,1.0175,,,,,37.4775,0.36,4.7,,1.0475,7.9875,686,001-03-0203
1.948,98,0.16,1.84,,4.83,12.416,59.66,53,61,25,1137.566,224.01,90.068,60.49,42.166,13.764,1.75,1.984,7.6,47,1.31,235,41.386,0.318,3.916,117,0.924,5.106589862,687,001-03-0204
1.258333333,98,1.52,0.48,,4.108333333,3.771666667,24.51666667,38.25,27,12.5,102.9433333,29.55666667,17.19,15.15833333,14.35166667,6.935,1.361666667,1.866666667,9.5,65.5,0.6,24,2.84,0.165,0.783333333,49.5,1.136666667,3.468990505,688,001-03-0205
1.565,,,,,3.79,12.9,30.975,,,17,2184.4425,550.4,473.0925,338.925,18.75,7.8725,2.0075,2.3225,,,,,11.4775,1.3625,5.38,,0.2375,3.8875,689,001-03-0206
0.76,,,,,5.92,27.46,90.4,,,8,13602.91,581.85,154.03,494.63,81.57,5.75,0.47,2.59,,,,,9.09,1.21,14.85,,0.33,23.38,690,001-03-0208
1.446666667,,,,,4.743333333,8.713333333,49.56666667,40,36,21,620.0533333,177.82,70.16,35.71333333,31.47666667,14.79333333,1.813333333,1.486666667,8.2,53,1.14,84,19.78666667,0.23,4.806666667,71,1.016666667,3.524444444,691,001-03-0209
2.785,97,1.16,1.84,,6.08,24.125,81.75,50.5,68,61,2857.465,459.84,90.665,53.705,62.985,16.73,1.01,1.03,6,24,1.9,186,24.77,0.195,7.04,62,1.08,6.226996435,692,001-04-0201
1.765,97,1.16,1.84,,6.175,20.63,83.15,40.5,57,34.5,2351.81,337.28,60.825,103.29,63.915,15.785,0.875,2.545,5.8,21,1.5,101,7.565,0.17,3.285,79,1.215,6.852953964,693,001-04-0202
1.36,97,1.16,1.84,,6.37,19.265,89.75,33.5,70,46,2345.685,383.09,56.9,43.415,69.085,18.68,0.865,1.125,5.2,13.5,1.92,219,33.33,0.28,7.955,133,1.28,6.127617188,694,001-04-0203
1.72,98,0.16,1.84,,6.395,15.205,89.3,40,48,43,2091.81,174.385,43.205,29.035,77.015,10.59,0.8,0.905,5.2,13.5,1.37,80,6.16,0.21,5.185,51,1.22,12.03049751,695,001-04-0204
0.025,96,3.52,0.48,,7.24125,10.60625,96.7875,2,22,25.5,1607.685,40.46875,10.6075,35.62375,90.74375,3.98625,0.2725,1.7825,4.175,2.25,0.47,30.25,2.4275,0.1325,0.2575,11.75,1.43875,41.46966331,696,001-04-0205
1.64,98,1.52,0.48,,4.943333333,10.51333333,59.28333333,41.75,40,21.16666667,877.6866667,103.245,32.985,21.03166667,48.25,9.186666667,0.908333333,0.938333333,7.4,44.5,0.69,89,34.30833333,0.181666667,3.353333333,81.5,1.15,8.58578125,698,001-04-0207
0.805,,,,,5.945,10.0175,87.625,,,5.75,1667.0575,47.885,14.45,21.5075,81.18,4.7875,0.4975,1.1525,,,,,1.44,0.22,1.155,,1.145,36.0175,699,001-04-0208
30.66375,,,,,3.8025,22.06375,31.225,70,67,55.125,1210.865,436.2275,127.97375,172.60625,17.50875,10.4625,0.98625,2.27375,10,68,0.58,90.75,1.1075,0.65,1.34875,162.25,0.42875,2.876812815,700,001-04-0209
0.601428571,98,1.52,0.48,,4.308571429,1.948571429,24.74285714,20.66666667,20,11,53.00428571,15.40857143,6.51,9.084285714,14.56285714,6.884285714,1.11,2.198571429,9.266666667,63.33333333,0.583333333,19.33333333,0.525714286,0.125714286,0.371428571,35.66666667,1.17,3.463329916,701,001-04-0210
18.63,,,,,5.565,26.095,70.85,70,202,52.5,3595.97,227.59,53.625,90.905,62.44,6.54,0.455,1.42,6.8,36,1.92,310,9.205,0.27,4.395,150,0.555,15.8026087,702,001-04-0211
0.71,98,0.16,1.84,,4.354,2.822,27.6,31,36,10.2,75.902,25.176,15.178,19.676,13.67,8.582,1.656,3.694,8.4,55,1.3,106,3.228,0.164,0.762,63,1.246,2.617069767,703,001-04-0212
1.29,,,,,4.446666667,9.19,47.76666667,,,7.666666667,168.14,243.79,98.92666667,1018.796667,11.67666667,14.88,1.95,19.26333333,,,,,0.18,0.263333333,0.463333333,,1.176666667,1.336666667,704,001-04-0213
1.1525,,,,,5.6525,28.51,90.9,,,22,10393.815,670.94,369.7725,417.7075,78.37,8.34,1.495,2.695,,,,,8.7575,1.44,11.6425,,0.4325,15.5,705,001-04-0214
0.936,97,1.16,1.84,,4.572,3.416,33.06,33,39,14,134.55,30.86,19.42,14.534,21.476,7.878,1.64,2.06,8.8,59,1.3,38,5.61,0.18,1.164,57,1.112,4.269565217,706,001-04-0215
1.29125,98,1.52,0.48,,4.3625,4.5,36.6375,31.25,38.5,26.125,191.99125,48.3375,11.295,17.58,23.98,9.94625,0.8325,1.87875,9.2,62.25,0.5875,188.5,12.85375,0.16375,1.42375,174.5,1.16125,3.810744048,707,001-04-0216
3.88625,97,2.52,0.48,,3.96625,6.38625,25.8875,54.125,65,22.125,185.2625,63.8875,19.82375,19.3,15.06,8.61375,0.86875,1.34375,10.15,68.75,0.515,201.5,4.0475,0.1225,1.33125,108.75,0.97,2.886020866,708,001-04-0217
3.433333333,98,1.52,0.48,,4.53,11.35666667,43.36666667,48.5,89.5,25.16666667,676.3466667,99.96,28.43333333,21.99666667,33.77,8.933333333,0.863333333,1.046666667,9,60.5,0.72,189,4.463333333,0.14,1.233333333,124,1.023333333,7.164564331,709,001-04-0218
1.1075,97,2.52,0.48,,4.205,3.925,31.525,28.875,33.25,20.75,122.56125,42.67375,8.6725,20.06125,18.05375,10.225,0.76,2.4775,9.4,64.25,0.49,211.5,10.46375,0.14125,1.23375,176,1.17625,2.912879758,710,001-04-0219
0.741428571,97,2.52,0.48,,4.1,2.888571429,27.44285714,21.66666667,21.33333333,10.28571429,73.23857143,26.83714286,7.784285714,20.54571429,14.9,8.365714286,0.818571429,3.364285714,9.6,65.66666667,0.55,75.66666667,0.394285714,0.134285714,0.427142857,70.33333333,1.201428571,3.137254186,711,001-04-0220
0.673333333,98,1.52,0.48,,4.425,3.021666667,34.56666667,22,28,13.5,118.275,26.295,6.635,14.51666667,23.20333333,8.215,0.756666667,2.405,8.9,60,0.61,139.5,16.515,0.193333333,0.903333333,174.5,1.226666667,4.640854701,712,001-04-0221
0.06,98,1.52,0.48,,4.86,1.292857143,47.58571429,2.666666667,19,13.14285714,68.87142857,16.19142857,6.572857143,7.777142857,29.63285714,12.87,2.105714286,3.004285714,7.6,47,0.546666667,80.66666667,2.082857143,0.144285714,0.307142857,141,1.368571429,6.167432712,713,001-04-0222
1.54375,98,1.52,0.48,,4.0325,4.53375,24.6875,34.125,34,19.125,118.09125,37.31125,8.74375,22.64375,14.17625,7.5075,0.63875,2.355,9.6,65.5,0.565,132.25,13.755,0.16375,1.03625,169.75,1.16375,3.139380306,714,001-04-0223
0.7425,98,1.52,0.48,,4.16625,2.74125,25.425,21.125,35,29.625,74.28,21.4825,5.39875,13.5175,15.27375,7.0825,0.665,2.43375,9.5,65.5,0.565,297.5,6.93625,0.12625,0.51375,244.75,1.24875,3.727825976,715,001-04-0224
7.68625,96,3.52,0.48,,4.16125,10.07625,33.1875,58.125,51,25.125,683.85625,126.13,32.565,50.46875,21.61625,8.795,0.7925,1.98625,9.5,63.75,0.545,126.5,0.97125,0.185,0.68875,294,0.86,3.890254433,716,001-04-0225
32.025,,,,,3.875,29.485,24.1,16.0125,29.375,32.25,881.875,238.625,91.125,97.5,14.86,6.885,0.8375,1.51,9.65,66.25,0.60375,112.625,2.5,0.05125,2.8125,160.125,0.6025,3.693879409,717,001-04-0226
17.65,,,,,4.2,22.485,30.5,8.825,27.5,30,1030.5,174,50,59,22.085,6.62,0.595,1.195,9,60.5,0.48,127.5,2.5,0.07,3.8,196.5,0.69,5.922413793,718,001-04-0227
21.25,,,,,4.15,24.94,29.9,10.625,15.5,16,987.5,213,62,91,20.52,7.195,0.625,1.57,9.1,61,0.54,121,8.5,0.025,3.75,138.5,0.845,4.660594566,719,001-04-0228
3.475,,,,,4.675,10.505,40.45,1.7375,13.5,15.5,628.75,120,33,37.25,28.0575,9.865,0.8625,1.665,8.05,51.5,0.6725,102,27.5,0.0225,2.475,73.5,1.195,4.787105266,720,001-04-0229
0.21,95,3.16,1.84,,6.83,7.265,93.5,3,33,37.5,1024.795,54.535,13.49,21.975,84.53,7.025,0.535,1.435,4.9,7.5,1.09,143,6.675,0.15,2.405,110,1.405,20.58815789,722,001-05-0202
0.644,98,0.16,1.84,,4.198,3.156,19.28,16.5,27,5.8,71.252,16.884,12.682,7.592,11.876,4.978,1.244,1.162,8.2,53,1.41,30,1.004,0.18,0.4,63,1.278,3.56875,726,001-05-0206
1.327142857,97,2.52,0.48,,3.878571429,3.835714286,17.71428571,23.83333333,23.66666667,9.714285714,61.45142857,25.35285714,6.984285714,15.90571429,8.795714286,6.215714286,0.688571429,2.02,9.8,67,0.543333333,23.33333333,0.574285714,0.131428571,0.448571429,85.66666667,1.27,2.327452452,727,001-05-0207
0.576666667,98,1.52,0.48,,4.156666667,2.051666667,20.65,13.5,20,6.833333333,42.75833333,13.24333333,2.776666667,10.19333333,11.26,6.486666667,0.485,2.548333333,9.2,63,0.525,37.5,0.291666667,0.146666667,0.218333333,63,1.306666667,3.228985507,728,001-05-0208
0.95,,,,,4.515,14.17,55.85,,,9,7278.415,838.86,397.79,561.18,43.4,8.26,1.24,2.93,,,,,7.71,2.64,9.095,,0.17,8.665,730,001-05-0210
2.098571429,98,1.52,0.48,,4.144285714,4.295714286,23.84285714,43.83333333,31.33333333,22,119.1342857,36.12857143,27.12285714,15.17,13.73285714,6.914285714,1.724285714,1.461428571,9.666666667,66.33333333,0.676666667,41.66666667,5.471428571,0.157142857,1.55,64.33333333,1.077142857,3.313255011,731,001-05-0211
1.174,,,,,4.552,6.632,38.14,38.5,36,15.6,313.142,85.828,61.012,32.436,22.814,10.676,2.408,2.25,9,61,0.62,40,41.622,0.24,3.842,37,1.05,3.482360656,732,001-05-0212
0.946666667,,,,,4.023333333,10.99666667,30.96666667,,,5.666666667,677.49,374.3933333,161.56,171.5533333,13.41333333,12.34,1.846666667,3.383333333,,,,,1.906666667,0.576666667,6.383333333,,0.62,1.756666667,733,001-05-0213
1.2625,,,,,4.786666667,13.84333333,54.2,,,11,1844.056667,1032.4,269.1833333,779.9333333,25.73,20.34333333,1.486666667,6.63,,,,,2.603333333,0.94,3.843333333,,0.403333333,1.996666667,734,001-05-0214
0.045,98,0.16,1.84,,6.28,1.76,87.7,2,23,47.5,192.62,34.53,10.41,11.535,64.085,18.905,1.89,2.735,5.1,10.5,1.02,549,6.765,0.115,0.425,147,1.435,5.615416667,735,001-05-0215
1.27,,,,,4.154,6.892,31.9,28.5,36,15.2,586.526,581.542,190.232,524.448,11.788,13.446,1.416,5.248,9.6,66,0.52,315,9.234,1.7,3.316,263,0.784,1.982823529,736,001-05-0217
2.21,,,,,4.065,5.2,26.35,43.75,36,19.5,153.15,44.62,9.0175,26.8525,15.7275,7.7225,0.545,2.3725,9.6,66,0.58,106.5,3.1225,0.205,1.1725,149,1.0825,3.691034483,737,001-05-0218
0.585,75.1,20.11,4.79,,4.3975,2.8575,,,,3.25,39.25,13.75,23,3,,,,,,84.925,,,20.25,0.3275,1.205,,1.14,2.751862374,739,002-01-0001
1.565,64.6,31.63,3.77,,4.2975,4.31,,,,6.25,60.75,34,36.5,11.25,,,,,,84.775,,,1.25,0.4425,0.69,,0.91,1.816246999,740,002-01-0002
1.016666667,73.2,21.6,5.2,,4.256666667,3.72,,,,2.333333333,40.33333333,9,11,4,,,,,,89.36666667,,,1.333333333,0.376666667,0.553333333,,1.16,4.465740741,741,002-01-0003
0.185,71.3,21.25,7.45,,4.42,2.195,,,,1,34,8.25,12.25,5.25,,,,,,83.6,,,0.5,0.5825,0.7325,,1.175,4.125,742,002-01-0004
3.1025,64.75,29.91,5.34,,4.565,5.7375,,,,3.75,228,20,30,6,,,,,,77.05,,,84.25,0.65,1.68,,0.9825,10.68573165,744,002-01-0006
3.17,32,63.8,4.2,,4.43,4.62,,,,3,109,19,30,8,,,,,,84,,,5,0.98,1.2,,0.92,5.736842105,745,002-01-0007
1.105,84.95,10.96,4.09,,4.2375,3.8725,,,,2.5,50,8.25,12.25,3,,,,,,89.1,,,1.25,0.39,0.7225,,1.2225,5.822916667,746,002-01-0008
0.3475,91.85,2.43,5.72,,4.175,2.555,,,,2.5,19.5,7,11.25,5,,,,,,89.35,,,0.75,0.2725,0.345,,1.2975,2.727678571,747,002-01-0009
19.225,40.5,51.94,7.56,,4.315,6.045,,,,5.5,27,13.5,32.5,8,,,,,,95.55,,,1,0.41,0.605,,0.745,2.166666667,748,002-01-0012
5.69,,,,,3.77,9.22,,,,23,154,87,261,83,,,,,,89.4,,,5,1.54,4.87,,0.39,1.770114943,749,002-01-0013
0.725,86,10.66,3.34,,4.095,3.775,,,,1.5,44.5,8,12,4,,,,,,87.8,,,6,0.52,0.595,,1.345,5.627272727,750,002-01-0014
5.73,68.6,27.38,4.02,,4.235,5.99,,,,3.5,40.5,15.5,23,8.5,,,,,,91.3,,,1,14.42,4.355,,1.05,3.255952381,751,002-01-0015
4.625,65.15,28.79,6.06,,4.1,6.28,28.05,23,12.75,27.25,261,38,17.75,10.5,20.8075,5.5775,0.845,0.8275,9.2,62.75,0.2,162.25,7.75,0.29,1.1,753.25,1.1225,6.628392441,752,002-01-0030
2.025,63.2,32.24,4.56,,4.3,3.92,32.2,15.125,14.25,9.5,193,28.5,18.25,9.75,23.0375,6.76,1.205,1.1925,8.8,59,0.2,158,4.25,0.135,0.75,446.5,1.2275,7.005856881,753,002-01-0031
3.02,69.32,25.72,4.96,,4.04,4.088,27.28,18.3,20,15.2,142.6,33.4,20.6,10,17.886,6.98,1.288,1.024,9.32,63.4,0.2,159.4,10,0.236,1.06,640.8,1.146,4.27063383,754,002-01-0032
3.125,76.05,18.14,5.81,,4.125,2.9075,28.6,17.875,24.75,8.75,101,27,17.25,9.25,17.755,7.955,1.4975,1.3825,9.15,62.25,0.2,144,1,0.165,0.7,659.25,1.1725,3.732749288,755,002-01-0033
2.9,75,21.44,3.56,,3.7,5.19,22,19.5,16,10,131,44,30,10,12.62,7.06,1.48,0.84,10,68,0.2,98,1,0.25,1.7,277,1.21,2.977272727,756,002-01-0034
1.775,86.5,10.94,2.56,,4.525,2.975,37.15,13.875,13,18,182.5,25.5,15.5,7.25,26.865,7.6825,1.435,1.175,8.35,54.5,0.2,169,2,0.3,0.675,367.25,1.29,7.154557166,757,002-01-0035
5.25,75.8,21.64,2.56,,3.9,4.715,24.4,24.75,11,14.5,143,38.5,21.5,11,15.175,6.875,1.28,1.085,9.6,66,0.2,128,2,0.175,0.9,313.5,1.08,3.687847222,758,002-01-0036
2.55,77.8,18.64,3.56,,3.9,3.18,24.4,17.75,16.25,9.25,95.75,26.5,12.5,10,15.055,6.95,1.01,1.365,9.6,66,0.2,152.5,1,0.1,0.775,609,1.2175,3.610292023,759,002-01-0037
56.1,,,,,3.6,13.91,20.8,65,16,23,326,109,113,15,11.72,6.53,2.08,0.47,10.2,69,0.2,126,6,0.12,2.1,397,0.31,2.990825688,760,002-01-0038
7.3,63.4,30.04,6.56,,4.1,3.48,27.8,28,29,11,101,37,33,16,14.51,8.86,2.43,2,9.2,63,0.2,305,1,0.23,1,1081,0.94,2.72972973,761,002-01-0039
8.7,43.65,50.29,6.06,,3.85,5.22,23.8,26.875,19.25,15,157.75,37.5,27.25,14.25,15.1625,6.0675,1.3525,1.215,9.7,66.5,0.2,229.25,17,0.29,1.075,875.75,0.9925,4.19532393,762,002-01-0040
2.525,58.75,33.94,7.31,,4.1,3.26,28.05,17.25,17.75,9,114.75,27.25,22,8.5,17.9425,7.2425,1.705,1.1625,9.2,62.75,0.2,204.25,1,0.4475,0.575,646,1.07,4.267768158,763,002-01-0041
1.1,95.4,3.04,1.56,,4.1,2.59,27.8,10,7,6.5,95.5,24,10,7,18.48,7.725,0.91,1.17,9.2,63,0.2,20.5,1,,0.55,54,1.335,3.987762238,764,002-01-0042
0.64,72.3,22.86,4.84,,4.8325,3.25,,,,2.25,54.75,10.5,13.25,4,,,,,,85.175,,,109.25,0.655,0.91,,1.1875,5.078125,766,002-02-0001
0.755,62,33.16,4.84,,4.4425,3.2525,,,,3.25,48.75,10.25,17.25,3,,,,,,88.1,,,3,0.51,0.6225,,1.1025,4.382692308,767,002-02-0002
0.515,74.85,18.91,6.24,,4.19,6.2725,,,,1.75,24.25,7.25,10.75,4,,,,,,93.275,,,1,0.22,0.3825,,1.25,3.264880952,768,002-02-0003
